id,length,stage_name,type
37,168.6,COLUNGAMUSEOJURÃSICOPENACABARGA_2016,mountains_uphill
38,188.7,LUGONESLAGOSDECOVADONGA_2016,mountains_uphill
39,164.5,CISTIERNAOVIEDOALTODELNARANCO_2016,hills_uphill
40,181.5,VILLALPANDOLACAMPERONAVALLEDESABERO_2016,mountains_uphill
41,158.5,MACEDAPUEBLADESANABRIA_2016,hills_flat
42,163.2,MONFORTEDELEMOSLUINTRARIBERASACRA_2016,hills_flat
43,171.3,VIVEIROLUGO_2016,hills_flat
44,163.5,BETANZOSSANANDRÃSDETEIXIDO_2016,hills_uphill
45,176.4,MARÃNDUMBRÃAMIRADORDEÃZARO_2016,hills_uphill
46,160.8,OURENSEBAIONA_2016,hills_flat
47,27.8,BALNEARIOLAIASPARQUENáUTICODECASTRELODEMIñO_2016,flat
215,163.0,CALERUEGALAGUNASDENEILA_2016,mountains_uphill
216,145.0,ARANDADEDUEROLERMA_2016,hills_flat
217,198.0,SEDANOVILLARCAYO_2016,hills_flat
218,10.72,BURGOSBURGOS_2016,hills_flat
219,158.0,SASAMóNMELGARDEFERNAMENTAL_2016,hills_flat
178,57.0,LAPUNTDAVOS_2016,hills_flat
179,16.8,DAVOSDAVOS_2016,hills_flat
180,224.3,ARBONSöLDEN_2016,mountains_uphill
181,162.8,WEESEAMDEN_2016,mountains_uphill
182,126.4,BRIGGLISCARì_2016,mountains_uphill
183,193.0,RHEINFELDENCHAMPAGNE_2016,hills_uphill
184,192.6,GROSSWANGENRHEINFELDEN_2016,hills_flat
185,187.6,BAARBAAR_2016,hills_flat
185,187.6,BAARBAAR_2016,hills_flat
220,163.0,CUNEOTORINO_2016,flat
221,134.0,GUILLESTRESANTANNADIVINADIO_2016,mountains_uphill
222,162.0,PINEROLORISOUL_2016,mountains_uphill
223,244.0,MUGGIòPINEROLO_2016,hills_flat
224,196.0,MOLVENOCASSANODADDA_2016,hills_flat
225,132.0,BRESSANONEANDALO_2016,mountains_flat
226,10.8,CASTELROTTOALPEDISIUSI_2016,mountains_uphill
227,210.0,ALPAGOCORVARAALTABADIA_2016,mountains_flat
228,170.0,PALMANOVACIVIDALEDELFRIULI_2016,mountains_flat
